device_id,lat_mean,long_mean,lat_range,long_range,lat_std,long_std
29182687948017175,31.2325925926,121.375473251,0.25,0.23,0.0401779307328,0.0373075625412
-6401643145415154744,30.0037931034,104.237241379,11.26,6.93,3.15557788991,1.93897306014
-4833982096941402721,29.7663636364,106.813208556,0.14,0.49,0.0650432711884,0.211385483926
-6815121365017318426,23.2923404255,104.265106383,0.09,0.03,0.0299796218702,0.00768317875969
-5373797595892518570,28.6666221374,115.876793893,0.04,0.09,0.0108706116184,0.0234526378527
5990807147117726237,22.9958047493,113.720237467,0.56,0.91,0.0941493819226,0.147127392266
1782450055857303792,34.4334848485,113.222878788,0.55,1.48,0.274123907088,0.739194412348
-8195816569128397698,26.0534883721,119.33627907,0.09,0.07,0.0243886859902,0.0164278911744
8663743929678393765,39.7167916667,107.833708333,0.32,2.04,0.137125696342,0.994243849162
8640114685470534007,34.9143686007,117.72894198,0.08,0.07,0.0184749799564,0.00900739431775
2504414082456157897,31.8598816724,119.163073889,0.89,1.84,0.234851230318,0.649889888575
-460438353776005388,24.6908,118.46495,0.13,0.11,0.0201831612985,0.0135276568555
2271670507584822423,35.6403557312,111.461383399,0.01,0.02,0.00185223312472,0.00408206831472
6130108008013735751,42.4276,128.5524,4.02,7.98,1.30634537547,2.59319305876
8546251726684589793,31.3247651007,120.672416107,0.22,0.09,0.0379435096291,0.0161640502064
-1663840927569383079,33.9294117647,116.449411765,0.01,0.01,0.00235294117647,0.00235294117647
1186608308763918427,32.8638350955,113.498235339,48.17,129.35,7.51137429399,10.3226459172
-6672877056143385791,43.8187636364,87.59,0.01,0.0,0.00329166239495,1.42108547152e-14
-4984460214693442980,31.759137931,120.015344828,0.19,0.27,0.0235096812603,0.0991727075436
4830593356246717684,40.2,122.686701031,2.86,2.24,1.23799888413,1.08785300861
-2668732172869127974,47.2780970149,132.050733831,0.06,0.13,0.024372432454,0.0227976999746
-7745575547510100089,34.7920886076,117.269841772,0.05,0.00999999999999,0.0176482436272,0.00124789519956
7166563712658305181,28.4788571429,117.964857143,0.31,0.17,0.0516455739258,0.0283217663464
-5106447321904784333,34.0231660232,108.567567568,1.37,2.05,0.447130723204,0.677331715747
1682568851428303645,39.9163157895,116.509766082,1.41,5.69,0.179107255713,0.733060518007
-4993407482707979325,23.0050746269,113.327313433,0.22,0.12,0.109889675127,0.0599398227965
-2305954534288337474,35.05,118.32509434,0.0,0.03,0.0,0.00923950531826
-6495303330948269546,34.02,113.8,0.0,0.0,0.0,2.84217094304e-14
-2114959700836660347,38.1801030928,115.180670103,0.01,0.02,0.001010098863,0.00288337448885
-7694547856539765687,30.51,114.389615385,0.0,0.05,3.5527136788e-15,0.0140002113255
-2107177132625990978,34.52,114.7,0.0,0.0,0.0,4.26325641456e-14
-8295895346874348777,22.8903018868,112.242056604,0.01,0.05,0.00171106174321,0.00931539962786
-3863326918807549169,22.6684375,114.096710526,3.3,5.37,0.289505634731,0.482106843252
-4713356591613805069,28.2650561798,113.364157303,0.05,0.01,0.0213122107483,0.00492847465157
-7733395605616071501,27.31,120.21,0.0,0.0,3.5527136788e-15,2.84217094304e-14
182836445212489362,22.69,114.33,0.0,0.0,0.0,0.0
8975547711407443166,22.9430769231,113.362076923,0.18,0.11,0.016541144684,0.0111421689538
6752290732094543435,23.1072220223,113.926218064,0.09,0.2,0.00756295426156,0.0227882902481
7769150926490140849,31.1138,121.5452,0.26,0.38,0.0649273440085,0.0883683201153
656236815094512043,26.79,114.94,0.0,0.0,3.5527136788e-15,4.26325641456e-14
3645702257068268327,39.641125,117.2763125,1.01,0.3,0.455806959551,0.117364932342
-805165251400681658,27.251965812,105.527094017,0.09,0.35,0.0364501607101,0.154930697653
-4047091239451547677,22.6024271845,113.211747573,0.43,0.08,0.0686834022631,0.0112713387241
-7868922663453980926,23.04,113.11,0.0,0.0,3.5527136788e-15,1.42108547152e-14
8884625593579215667,35.9495601173,104.150087977,0.01,0.00999999999999,0.00205069017443,0.000933823069095
-3414631284970241628,36.6357192374,114.443240901,0.06,0.04,0.0116659539947,0.00768075254601
8292388373526453818,39.8924143302,116.460404984,0.06,0.08,0.0102429816533,0.0125237906965
3129668152512862587,39.7727142857,116.356785714,0.06,0.15,0.0291018619223,0.0727546548059
5861096429563062512,23.2171666667,113.307,0.2,0.14,0.0471201183737,0.0238956062907
-1593861387409811850,25.31,110.4,0.0,0.0,0.0,1.42108547152e-14
7700200884646630906,31.2268265039,121.394803836,2.01,0.58,0.649832148185,0.174231982324
-3038263123962440629,23.1278378378,113.336081081,0.38,0.11,0.127366997616,0.0230930882117
-1667879172906806240,34.755,114.492236842,6.84,15.76,3.08437594985,6.84727137331
8177781589136232256,22.73,114.27,0.0,0.0,0.0,0.0
7337025206692725039,35.12,110.92,0.0,0.0,0.0,1.42108547152e-14
8250516622760332376,31.1425146199,121.663596491,0.09,0.28,0.0350704148362,0.0623017631796
3239037034052399186,33.6863392857,118.377202381,0.31,0.22,0.0220252372446,0.0161439062379
-5526220929433225920,45.1279146919,124.829052133,0.02,0.02,0.00603405205039,0.0030867600925
-7543605604869881675,25.1296551724,102.740172414,0.02,0.01,0.00260339118458,0.00130169559229
-4234008871919350855,23.3797727273,113.426363636,0.3,0.11,0.0544388162137,0.019375583169
-833835207779975000,30.5214634146,114.299688347,0.03,0.02,0.00609539256837,0.00215532358601
-8931400468308045059,36.2965116279,115.779813953,6.53,13.9,1.28034494575,4.97011543198
-6470609369540549852,30.2901153999,120.352912853,0.01,0.02,0.00106802718248,0.00508103512719
8045892847872528264,24.4349275362,90.8985507246,30.51,117.04,12.8761395582,49.3940635192
-7195524207784364643,22.5684415584,114.112510823,0.13,0.19,0.0586219438339,0.0822766877437
2529494845458619307,38.1067816092,114.477931034,0.06,0.05,0.019067992049,0.0109479364596
-1140182298279280186,41.1390151515,123.007083333,0.06,0.18,0.00742230958142,0.0221781839526
-8640137724042537581,36.5720394737,120.325164474,0.57,0.16,0.189354300383,0.0553752680971
881708862693428593,30.7932193732,104.048347578,0.3,0.27,0.0517351932728,0.0357755584905
4653546651966915934,35.4243816254,113.790742049,0.27,0.35,0.128675871101,0.161789290285
7791587013685890183,24.85,118.6,0.0,0.0,0.0,0.0
-8968369310542461421,39.8491891892,116.497493857,8.8,5.09,0.859412164724,0.497286602424
5193294561516639665,37.58,121.356494845,0.0,0.02,7.1054273576e-15,0.00760374800601
-7070224105427255152,0.937105263158,1.11105263158,0.84,0.93,0.300192113003,0.339928703621
163167796882803305,31.72,117.16,0.0,0.0,3.5527136788e-15,1.42108547152e-14
2872287058149668466,22.5748148148,113.863888889,0.09,0.07,0.0213212414291,0.0160342996552
-5105332332397066846,22.87,108.33,0.0,0.0,3.5527136788e-15,1.42108547152e-14
